ID,Name,Planet,a_au,M_star,Lbol,Teff,M_planet,R_planet, tlock_CPL, tlock_CTL
4,LHS 1140,b,0.087,0.1824,0.004425108,3100,6.65,1.43,8.0802e+06,1.9000e+07
16,GJ 96,b,0.291,0.5763,0.06385681,3900,19.66,4.68,1.7434e+09,4.3260e+09
17,CD-23 1056,b,0.25,0.6174,0.090805605,4000,114.0,13.22,8.1524e+09,1.3000e+10
18,LP 413-32 B,b,0.164,0.5035,0.03640445,3200,4.01,1.7,2.1987e+07,5.3000e+07
21,LPM 178,c,0.125,0.4054,0.02169785,3400,6.8,2.51,8.6218e+06,2.1000e+07
27,LP 834-042,b,0.143,0.4507,0.027579645,3500,23.54,5.36,5.9392e+07,1.3700e+08
29,LP 834-042,d,0.194,0.4507,0.027579645,3500,7.6,2.67,1.0419e+08,2.5100e+08
40,LP 776-27,c,0.129,0.4092,0.024274724,3500,6.4,2.4,9.9533e+06,2.4000e+07
43,Kapteyns star,b,0.168,0.2787,0.012805443,3700,4.8,2.03,8.6884e+07,2.0900e+08
49,BD-06 1339,c,0.457,0.6348,0.10393205,4100,53.0,8.49,1.3000e+10,1.3000e+10
52,Luytens star,b,0.091,0.2946,0.00990013,3200,2.89,1.5,1.5257e+06,3.7916e+06
72,Innes star,b,0.119,0.3595,0.017896352,3400,9.9,3.15,9.9885e+06,2.4000e+07
76,PM J11293-0127,d,0.208,0.5506,0.0603475,3900,11.1,1.51,2.3345e+08,5.5900e+08
77,PM J11302+0735,b,0.143,0.4446,0.026395837,3500,8.43,2.38,2.0700e+07,4.9000e+07
81,Ross 1003,b,0.166,0.3456,0.01498976,3200,96.7,12.02,2.5147e+09,5.9130e+09
84,LP 613-39,b,0.091,0.3036,0.012170071,3500,5.95,2.25,2.1398e+06,5.0000e+06
93,Proxima Centauri,b,0.049,0.1238,0.001536843,2800,1.27,1.09,2.4013e+05,5.7556e+05
103,HD 147379,b,0.319,0.6314,0.0977543,3900,24.7,5.22,3.7714e+09,9.4110e+09
106,V2306 Oph,c,0.089,0.3022,0.010823072,3300,3.41,1.69,1.3153e+06,3.2892e+06
113,HD 156384 C,c,0.125,0.3268,0.014945071,3500,3.8,1.81,9.1829e+06,2.2000e+07
115,HD 156384 C,e,0.213,0.3268,0.014945071,3500,2.7,1.43,2.2091e+08,5.4200e+08
116,HD 156384 C,f,0.156,0.3268,0.014945071,3500,2.7,1.42,3.4779e+07,8.4000e+07
124,CD-44 11909,b,0.08,0.2743,0.008118322,3200,4.4,1.97,9.7076e+05,2.2757e+06
125,CD-44 11909,c,0.176,0.2743,0.008118322,3200,8.7,2.85,1.7223e+08,4.1700e+08
148,V1428 Aql,b,0.336,0.4745,0.032581307,3500,12.2,3.57,3.1529e+09,8.0030e+09
179,Kepler-186,f,0.432,0.5493,0.057127886,3900,1.61,1.17,5.9316e+09,1.3000e+10
187,HD 204961,c,0.163,0.4404,0.029206133,3600,5.4,2.19,3.1029e+07,7.4000e+07
195,IL Aqr,b,0.214,0.3381,0.012926352,3200,760.9,13.26,1.3000e+10,1.3000e+10
196,IL Aqr,c,0.134,0.3381,0.012926352,3200,241.5,14.04,1.1384e+09,2.6050e+09
201,2MUCD 12171,d,0.021,0.0898,0.000537818,2500,0.38,0.77,2.3451e+03,4.9207e+03
202,2MUCD 12171,e,0.028,0.0898,0.000537818,2500,0.76,0.92,1.5640e+04,3.2804e+04
203,2MUCD 12171,f,0.037,0.0898,0.000537818,2500,1.16,1.04,8.8664e+04,2.1301e+05
204,2MUCD 12171,g,0.045,0.0898,0.000537818,2500,1.45,1.13,2.8066e+05,6.5467e+05
